Address,Latitude,Longitude,Neighborhood,Created_At,Property_Type,Style,Year_Built,Square_Footage,Bedrooms,Bathrooms,Lot_Size,Price,Property_Tax,HOA_Fees,Parking_Spaces,Heating,Cooling,Appliances,Features,School_District,Walk_Score,Transit_Score,Last_Sold_Date,Last_Sold_Price,Estimated_Monthly_Payment
"3467, Sanchez Street, Mission, San Francisco, CA 94102",37.754507,-122.412203,Mission,2025-08-31,Single Family Home,Victorian,1894,2500,2,3,8612,2079196,25989,0,0,Wall Unit,Central Air,"Oven, Dishwasher, Dryer, Microwave, Garbage Disposal","Spacious backyard, Close to public transportation, High ceilings",Private Schools,89,82,2023-03-24,1817048,3931
"4083, Guerrero Street, Mission, San Francisco, CA 94102",37.752448,-122.408121,Mission,2025-08-31,Single Family Home,Victorian,1909,2189,3,2,5424,1801128,22514,0,0,Baseboard,None,"Dryer, Refrigerator, Oven, Microwave, Garbage Disposal, Dishwasher","Fireplace, Landscaped backyard, Updated kitchen, Close to shopping",San Francisco Archdiocese,89,81,2022-09-25,1609555,3406
"6697, Guerrero Street, Mission, San Francisco, CA 94102",37.755392,-122.414119,Mission,2025-08-31,Single Family Home,Victorian,1890,2085,4,3,7794,1971189,24639,0,2,Central Heating,Central Air,"Refrigerator, Microwave, Dryer, Dishwasher","Close to shopping, High ceilings, Private backyard, Laminate floors, Modern kitchen",San Francisco Archdiocese,89,90,2022-10-08,1492576,3728
"340, Valencia Street, Mission, San Francisco, CA 94102",37.757975,-122.419191,Mission,2025-08-31,Single Family Home,Victorian,1898,2031,3,2,7130,2079258,25990,0,0,Wall Unit,Mini Split,"Garbage Disposal, Oven, Microwave, Dishwasher, Refrigerator","Carpet floors, Close to parks, Spacious backyard",Private Schools,93,80,2022-05-12,1481510,3932
"7459, Dolores Street, Mission, San Francisco, CA 94102",37.757582,-122.4128,Mission,2025-08-31,Single Family Home,Victorian,1908,2422,2,2,6133,1671727,20896,0,1,Wall Unit,Central Air,"Refrigerator, Garbage Disposal, Washer, Dishwasher, Dryer, Microwave","Landscaped backyard, Close to restaurants, Modern kitchen, Fireplace, Hardwood floors",San Francisco Unified School District,90,83,2022-12-28,1267277,3161
"9023, Valencia Street, Mission, San Francisco, CA 94102",37.754544,-122.415681,Mission,2025-08-31,Single Family Home,Victorian,1897,2794,2,2,7016,1440983,18012,610,1,Forced Air,Evaporative,"Microwave, Refrigerator, Dishwasher, Garbage Disposal","Private backyard, Built-in storage, Renovated kitchen, Close to restaurants, Tile floors",Private Schools,85,84,2023-03-18,1287372,2725
"3910, Sanchez Street, Mission, San Francisco, CA 94102",37.752685,-122.412189,Mission,2025-08-31,Single Family Home,Victorian,1919,2710,3,3,7007,1794494,22431,0,2,Forced Air,Window Unit,"Refrigerator, Garbage Disposal, Dryer, Dishwasher","Close to shopping, Updated kitchen, Carpet floors",Charter Schools,88,88,2023-03-03,1523872,3393
"9522, Mission Street, Mission, San Francisco, CA 94102",37.747992,-122.403336,Mission,2025-08-31,Single Family Home,Victorian,1916,2170,2,1,6844,2130049,26625,0,2,Radiant,Mini Split,"Washer, Dishwasher, Oven, Garbage Disposal","Renovated kitchen, Fireplace, Carpet floors, Close to shopping, Private backyard",San Francisco Unified School District,92,90,2022-01-26,1742000,4028
"4050, Dolores Street, Mission, San Francisco, CA 94102",37.748049,-122.416781,Mission,2025-08-31,Single Family Home,Victorian,1894,2049,4,3,6182,1426390,17829,307,2,Central Heating,Window Unit,"Microwave, Oven, Dishwasher, Garbage Disposal","Hardwood floors, Landscaped backyard, Fireplace",Private Schools,89,84,2020-09-14,1031982,2697
"4285, Guerrero Street, Mission, San Francisco, CA 94102",37.75287,-122.415774,Mission,2025-08-31,Single Family Home,Victorian,1901,2638,4,3,6676,1908521,23856,0,0,Baseboard,Mini Split,"Washer, Garbage Disposal, Refrigerator, Oven","Fireplace, Renovated kitchen, Spacious backyard, Close to shopping, Laminate floors",San Francisco Unified School District,91,87,2022-06-07,1669375,3610
"3465, Sanchez Street, Mission, San Francisco, CA 94102",37.756684,-122.41123,Mission,2025-08-31,Single Family Home,Victorian,1899,2635,3,3,5362,1648204,20602,0,2,Baseboard,None,"Oven, Garbage Disposal, Refrigerator, Microwave","Close to restaurants, Spacious backyard, Fireplace, Hardwood floors",San Francisco Archdiocese,91,87,2023-08-24,1316042,3116
"6726, Guerrero Street, Mission, San Francisco, CA 94102",37.745413,-122.407056,Mission,2025-08-31,Single Family Home,Victorian,1894,1938,2,1,4891,1832743,22909,0,1,Radiant,Central Air,"Oven, Microwave, Garbage Disposal, Washer, Dryer, Dishwasher","Landscaped backyard, Close to public transportation, Hardwood floors",San Francisco Archdiocese,88,87,2021-10-01,1622649,3466
"4007, Sanchez Street, Mission, San Francisco, CA 94102",37.753643,-122.414465,Mission,2025-08-31,Single Family Home,Victorian,1894,1813,3,2,7054,1994452,24930,0,1,Wall Unit,Evaporative,"Oven, Washer, Microwave, Refrigerator, Garbage Disposal","Close to restaurants, Modern kitchen, Laminate floors, Spacious backyard, Fireplace",Charter Schools,90,85,2024-08-14,1433980,3772
"6694, Sanchez Street, Mission, San Francisco, CA 94102",37.759432,-122.401992,Mission,2025-08-31,Single Family Home,Victorian,1898,2604,4,3,7406,1796246,22453,0,2,Baseboard,None,"Refrigerator, Garbage Disposal, Oven, Washer, Dishwasher, Microwave","Laminate floors, Private backyard, Modern kitchen",Charter Schools,90,84,2023-10-16,1326746,3397
"7010, Valencia Street, Mission, San Francisco, CA 94102",37.755673,-122.409828,Mission,2025-08-31,Single Family Home,Victorian,1914,2465,3,2,7104,1759000,21987,0,2,Radiant,Mini Split,"Dryer, Garbage Disposal, Washer, Dishwasher, Refrigerator","Concrete floors, Modern kitchen, Fireplace",Private Schools,88,89,2022-10-20,1321691,3326
"1662, Folsom Street, Financial District, San Francisco, CA 94102",37.797158,-122.402316,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1915,2715,3,2,7355,2296861,28710,398,1,Radiant,None,"Garbage Disposal, Dishwasher, Dryer, Refrigerator, Microwave","Close to parks, Updated kitchen, Landscaped backyard",Charter Schools,91,89,2024-07-29,1970738,4344
"2977, Harrison Street, Financial District, San Francisco, CA 94102",37.793837,-122.390296,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1896,3172,2,1,8324,3353513,41918,0,0,Radiant,Central Air,"Dryer, Microwave, Garbage Disposal, Dishwasher, Oven","Fireplace, Tile floors, Spacious backyard, Updated kitchen, Close to shopping",San Francisco Archdiocese,95,85,2021-08-08,2929389,6343
"511, Mission Street, Financial District, San Francisco, CA 94102",37.790832,-122.393274,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1971,2419,3,2,7304,3475455,43443,0,0,Central Heating,Evaporative,"Garbage Disposal, Refrigerator, Washer, Dishwasher, Dryer","Private backyard, Updated kitchen, Tile floors, Close to parks",San Francisco Archdiocese,90,85,2021-08-28,2829828,6574
"7576, Market Street, Financial District, San Francisco, CA 94102",37.793497,-122.405171,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1966,2832,3,4,7651,2634688,32933,344,2,Wall Unit,Mini Split,"Refrigerator, Washer, Dishwasher, Dryer, Microwave","Modern kitchen, Close to public transportation, Tile floors, Spacious backyard",San Francisco Unified School District,98,85,2020-10-15,2215282,4982
"4513, Harrison Street, Financial District, San Francisco, CA 94102",37.791678,-122.40187,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1900,2445,4,4,5702,3357713,41971,0,2,Radiant,Mini Split,"Oven, Garbage Disposal, Refrigerator, Dryer, Dishwasher, Microwave","Fireplace, Modern kitchen, Close to shopping, Private backyard, Carpet floors",Charter Schools,95,90,2021-07-11,2529138,6351
"7637, Harrison Street, Financial District, San Francisco, CA 94102",37.790508,-122.408439,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1963,2739,2,2,8457,2312228,28902,0,2,Central Heating,None,"Dryer, Garbage Disposal, Washer, Dishwasher","Close to parks, Landscaped backyard, Updated kitchen, Concrete floors, High ceilings",Private Schools,93,89,2021-09-20,1816752,4372
"3825, Folsom Street, Financial District, San Francisco, CA 94102",37.795205,-122.401375,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1998,2289,3,4,4673,2793400,34917,581,0,Baseboard,Evaporative,"Washer, Dryer, Dishwasher, Garbage Disposal, Refrigerator","Fireplace, Close to public transportation, Landscaped backyard, Carpet floors",Private Schools,98,90,2024-08-11,2411658,5282
"6782, Market Street, Financial District, San Francisco, CA 94102",37.794322,-122.391949,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1948,3201,4,4,12676,2321249,29015,0,2,Baseboard,None,"Refrigerator, Microwave, Garbage Disposal, Dryer, Washer","High ceilings, Hardwood floors, Private backyard",San Francisco Archdiocese,94,92,2022-03-24,1691757,4389
"1944, Market Street, Financial District, San Francisco, CA 94102",37.797425,-122.404998,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1972,3441,2,1,7444,2448703,30608,0,1,Wall Unit,Evaporative,"Dryer, Garbage Disposal, Oven, Microwave","Spacious backyard, Fireplace, Renovated kitchen",San Francisco Archdiocese,94,89,2022-04-01,1751689,4631
"2682, Folsom Street, Financial District, San Francisco, CA 94102",37.790329,-122.392388,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1972,2579,2,2,7236,3171360,39642,0,1,Forced Air,Evaporative,"Garbage Disposal, Microwave, Oven","Modern kitchen, Landscaped backyard, Hardwood floors",Private Schools,90,90,2021-11-21,2526817,5998
"5399, Mission Street, Financial District, San Francisco, CA 94102",37.790366,-122.393943,Financial District,2025-08-31,Single Family Home,Victorian/Modern,2011,3431,3,3,11727,2976325,37204,0,1,Forced Air,None,"Washer, Garbage Disposal, Oven, Dishwasher","Hardwood floors, Updated kitchen, Close to restaurants, Spacious backyard, High ceilings",San Francisco Archdiocese,92,95,2022-09-08,2136955,5629
"7673, Mission Street, Financial District, San Francisco, CA 94102",37.791507,-122.402581,Financial District,2025-08-31,Single Family Home,Victorian/Modern,2007,2069,2,1,5142,2542806,31785,0,2,Baseboard,None,"Microwave, Garbage Disposal, Dryer, Washer, Dishwasher, Refrigerator","Close to parks, High ceilings, Updated kitchen",Private Schools,93,95,2024-01-03,2143607,4808
"3264, Harrison Street, Financial District, San Francisco, CA 94102",37.795136,-122.396582,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1965,3355,3,2,13166,3170334,39629,0,2,Radiant,Central Air,"Microwave, Garbage Disposal, Refrigerator, Oven, Washer, Dishwasher","Landscaped backyard, Built-in storage, Close to public transportation, Renovated kitchen",Private Schools,94,93,2020-11-24,2507126,5995
"9525, Harrison Street, Financial District, San Francisco, CA 94102",37.794809,-122.399497,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1988,3099,2,1,6541,3366455,42080,0,0,Baseboard,Window Unit,"Oven, Washer, Refrigerator, Dishwasher, Dryer","Laminate floors, Close to parks, High ceilings, Spacious backyard, Renovated kitchen",San Francisco Archdiocese,97,92,2022-10-08,2731584,6366
"8310, Mission Street, Financial District, San Francisco, CA 94102",37.796711,-122.394735,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1941,2475,3,2,7565,2768675,34608,413,2,Central Heating,Mini Split,"Oven, Microwave, Garbage Disposal, Dryer, Dishwasher","Close to shopping, Hardwood floors, Spacious backyard, Renovated kitchen",San Francisco Archdiocese,96,87,2024-02-06,2138439,5236
"3131, Folsom Street, Financial District, San Francisco, CA 94102",37.797153,-122.390825,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1933,2375,2,3,4897,3370599,42132,0,1,Central Heating,Central Air,"Microwave, Garbage Disposal, Dryer, Refrigerator, Dishwasher, Washer","Spacious backyard, Laminate floors, Updated kitchen, Fireplace, Close to parks",San Francisco Unified School District,97,91,2021-12-28,2944000,6375
"7204, Harrison Street, Financial District, San Francisco, CA 94102",37.795685,-122.394478,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1969,2424,2,3,6107,2476072,30950,0,0,Forced Air,Central Air,"Oven, Refrigerator, Washer","Close to shopping, Landscaped backyard, Built-in storage",Private Schools,91,92,2021-09-26,2155029,4682
"1307, Mission Street, Financial District, San Francisco, CA 94102",37.792756,-122.401997,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1922,2695,3,2,9932,2241663,28020,0,0,Central Heating,Window Unit,"Washer, Dishwasher, Oven, Microwave, Garbage Disposal, Refrigerator","Landscaped backyard, Tile floors, Built-in storage, Modern kitchen, Close to shopping",Charter Schools,98,85,2024-01-10,1613726,4240
"2538, Market Street, Financial District, San Francisco, CA 94102",37.794313,-122.401125,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1914,2209,2,2,6341,3250079,40625,0,1,Wall Unit,Evaporative,"Washer, Refrigerator, Microwave, Dishwasher","Modern kitchen, Close to public transportation, Built-in storage",Private Schools,92,88,2024-01-15,2917185,6147
"5267, Market Street, Financial District, San Francisco, CA 94102",37.795343,-122.401791,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1986,2520,2,3,8729,2614475,32680,0,2,Baseboard,Central Air,"Garbage Disposal, Dishwasher, Microwave, Refrigerator, Oven, Washer","Fireplace, Close to parks, Carpet floors, Landscaped backyard",San Francisco Archdiocese,90,93,2024-03-07,2090817,4944
"1772, Folsom Street, Financial District, San Francisco, CA 94102",37.792902,-122.403955,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1938,2902,4,3,9039,3307237,41340,277,2,Baseboard,Window Unit,"Dishwasher, Dryer, Washer, Garbage Disposal","Modern kitchen, Landscaped backyard, Built-in storage",Private Schools,96,85,2023-09-08,2496460,6256
"6272, Market Street, Financial District, San Francisco, CA 94102",37.798486,-122.407211,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1990,2842,2,2,6157,3251574,40644,0,1,Baseboard,Central Air,"Dishwasher, Garbage Disposal, Dryer, Microwave, Oven","High ceilings, Updated kitchen, Spacious backyard, Close to public transportation",Charter Schools,90,94,2023-12-24,2366096,6150
"2929, Harrison Street, Financial District, San Francisco, CA 94102",37.79777,-122.394263,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1925,2554,4,3,8497,2373303,29666,0,2,Baseboard,Mini Split,"Garbage Disposal, Refrigerator, Microwave, Washer, Dryer","Built-in storage, Renovated kitchen, Concrete floors",San Francisco Unified School District,96,87,2022-10-28,1845624,4488
"5426, Mission Street, Financial District, San Francisco, CA 94102",37.796859,-122.393446,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1951,2616,2,2,9890,2773147,34664,0,1,Wall Unit,None,"Dishwasher, Washer, Microwave, Garbage Disposal, Refrigerator","Tile floors, Built-in storage, Updated kitchen",San Francisco Unified School District,97,89,2021-02-21,2362997,5244
"6611, Market Street, Financial District, San Francisco, CA 94102",37.79192,-122.40992,Financial District,2025-08-31,Single Family Home,Victorian/Modern,1971,2638,4,3,7599,2466602,30832,465,0,Radiant,Central Air,"Microwave, Dryer, Washer, Oven","Concrete floors, Landscaped backyard, Close to parks, High ceilings",Private Schools,98,89,2022-08-02,2011887,4664
"2696, California Street, Pacific Heights, San Francisco, CA 94102",37.796588,-122.429351,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1907,4401,5,4,11328,3425446,42818,0,2,Central Heating,None,"Dishwasher, Oven, Garbage Disposal, Washer","Modern kitchen, Close to restaurants, Laminate floors",Private Schools,88,77,2023-12-23,2629000,6479
"1951, Sacramento Street, Pacific Heights, San Francisco, CA 94102",37.796116,-122.429235,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1937,3019,5,5,11862,2960221,37002,0,1,Forced Air,None,"Washer, Garbage Disposal, Microwave, Refrigerator, Dishwasher, Dryer","Fireplace, Close to public transportation, Spacious backyard",Charter Schools,84,72,2021-10-14,2387465,5598
"7011, Pacific Avenue, Pacific Heights, San Francisco, CA 94102",37.791194,-122.437358,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1884,3850,4,3,8051,4074124,50926,513,0,Baseboard,Window Unit,"Garbage Disposal, Refrigerator, Dryer, Washer, Microwave, Oven","Landscaped backyard, Modern kitchen, High ceilings, Laminate floors",Charter Schools,80,75,2022-12-13,3266754,7705
"4303, Jackson Street, Pacific Heights, San Francisco, CA 94102",37.798836,-122.431545,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1929,2925,4,4,6981,4465678,55820,654,1,Radiant,Mini Split,"Washer, Oven, Garbage Disposal, Dryer, Microwave","Close to public transportation, Built-in storage, Spacious backyard, Modern kitchen, Tile floors",San Francisco Archdiocese,87,77,2022-12-10,3765115,8446
"3506, Pacific Avenue, Pacific Heights, San Francisco, CA 94102",37.797897,-122.423941,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1930,3363,5,5,10361,2984060,37300,0,0,Central Heating,Central Air,"Microwave, Garbage Disposal, Dishwasher","Concrete floors, High ceilings, Close to shopping, Modern kitchen",Private Schools,77,84,2020-09-06,2557265,5644
"925, Pacific Avenue, Pacific Heights, San Francisco, CA 94102",37.797634,-122.434241,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1939,2869,3,3,9006,2961050,37013,340,1,Radiant,Window Unit,"Oven, Washer, Dishwasher, Microwave, Garbage Disposal, Refrigerator","Modern kitchen, Concrete floors, Close to restaurants, Built-in storage, Private backyard",San Francisco Archdiocese,83,70,2022-04-25,2545441,5600
"4890, Washington Street, Pacific Heights, San Francisco, CA 94102",37.794918,-122.432643,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1893,3489,3,4,13614,3811162,47639,0,0,Baseboard,Window Unit,"Oven, Refrigerator, Dryer","Close to public transportation, Private backyard, Concrete floors",San Francisco Archdiocese,89,81,2023-03-31,3243652,7207
"437, Sacramento Street, Pacific Heights, San Francisco, CA 94102",37.791778,-122.427544,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1885,3249,4,4,10894,4100855,51260,0,0,Baseboard,Central Air,"Microwave, Dishwasher, Dryer, Refrigerator","Close to restaurants, Private backyard, Updated kitchen, Fireplace",San Francisco Unified School District,90,75,2022-05-26,3581536,7756
"2466, Sacramento Street, Pacific Heights, San Francisco, CA 94102",37.79934,-122.439631,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1928,3014,3,4,7777,3597526,44969,590,2,Forced Air,None,"Oven, Garbage Disposal, Dishwasher, Washer, Microwave, Refrigerator","High ceilings, Close to restaurants, Updated kitchen",San Francisco Archdiocese,90,75,2021-03-03,3097256,6803
"4782, Jackson Street, Pacific Heights, San Francisco, CA 94102",37.795128,-122.43795,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1905,4302,6,5,15450,3043577,38044,368,2,Central Heating,None,"Garbage Disposal, Washer, Dryer, Refrigerator, Dishwasher, Microwave","Fireplace, Laminate floors, Landscaped backyard",Private Schools,86,82,2021-12-18,2472068,5756
"9142, Jackson Street, Pacific Heights, San Francisco, CA 94102",37.798518,-122.425052,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1891,4006,3,2,10583,3069407,38367,0,2,Central Heating,Evaporative,"Washer, Dishwasher, Dryer","Spacious backyard, Renovated kitchen, Built-in storage",San Francisco Archdiocese,80,73,2022-09-01,2614912,5805
"7218, California Street, Pacific Heights, San Francisco, CA 94102",37.796319,-122.437129,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1903,4189,6,5,11823,3692804,46160,0,1,Wall Unit,Central Air,"Oven, Refrigerator, Dryer, Garbage Disposal, Dishwasher","Carpet floors, Spacious backyard, Close to public transportation",Private Schools,77,71,2022-10-24,2922811,6984
"9389, Pacific Avenue, Pacific Heights, San Francisco, CA 94102",37.790091,-122.437151,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1882,2847,5,4,6943,3970689,49633,0,1,Wall Unit,Central Air,"Dryer, Refrigerator, Garbage Disposal, Microwave","Modern kitchen, Close to parks, Landscaped backyard",Charter Schools,82,79,2024-05-11,3381860,7510
"8929, Washington Street, Pacific Heights, San Francisco, CA 94102",37.794926,-122.42985,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1925,2868,4,3,10734,4246180,53077,0,1,Baseboard,Central Air,"Washer, Refrigerator, Oven","Landscaped backyard, Laminate floors, Close to parks, Updated kitchen, High ceilings",Private Schools,87,85,2024-05-21,3731870,8032
"8118, Washington Street, Pacific Heights, San Francisco, CA 94102",37.796333,-122.435234,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1933,3425,3,2,8396,4382651,54783,0,1,Baseboard,Window Unit,"Oven, Washer, Dishwasher, Dryer, Garbage Disposal, Microwave","Hardwood floors, Close to parks, Private backyard",San Francisco Unified School District,90,75,2021-11-01,3591382,8290
"8849, California Street, Pacific Heights, San Francisco, CA 94102",37.79255,-122.431801,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1881,2697,6,5,6541,4496412,56205,0,2,Radiant,Evaporative,"Dishwasher, Microwave, Dryer, Washer","Spacious backyard, High ceilings, Modern kitchen",San Francisco Archdiocese,87,79,2022-05-10,3153516,8504
"8318, Sacramento Street, Pacific Heights, San Francisco, CA 94102",37.790144,-122.430225,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1896,3754,3,3,14390,2999754,37496,0,0,Wall Unit,Window Unit,"Washer, Garbage Disposal, Dishwasher","Hardwood floors, Spacious backyard, Built-in storage, Close to parks, Updated kitchen",Charter Schools,76,79,2022-01-10,2121936,5672
"8738, Jackson Street, Pacific Heights, San Francisco, CA 94102",37.795959,-122.436157,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1911,3597,4,4,7877,3640957,45511,426,2,Radiant,Central Air,"Microwave, Oven, Dryer, Refrigerator, Dishwasher, Garbage Disposal","Built-in storage, Renovated kitchen, Close to shopping, Concrete floors, Spacious backyard",San Francisco Unified School District,89,75,2021-09-07,3132764,6886
"2034, Pacific Avenue, Pacific Heights, San Francisco, CA 94102",37.791907,-122.43397,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1911,3497,4,3,8790,4111951,51399,0,0,Wall Unit,Mini Split,"Washer, Garbage Disposal, Dryer, Dishwasher, Microwave, Oven","Close to parks, Hardwood floors, Renovated kitchen, Fireplace, Landscaped backyard",Private Schools,82,84,2021-06-12,3074339,7777
"3676, Pacific Avenue, Pacific Heights, San Francisco, CA 94102",37.79267,-122.42977,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1927,3416,4,4,8267,3331506,41643,0,1,Wall Unit,Window Unit,"Washer, Microwave, Oven","Close to restaurants, Spacious backyard, Carpet floors, Modern kitchen, Fireplace",San Francisco Archdiocese,85,72,2021-04-11,2834594,6301
"2992, Sacramento Street, Pacific Heights, San Francisco, CA 94102",37.793629,-122.422434,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1897,2726,3,2,10756,4305358,53816,0,2,Baseboard,Window Unit,"Dryer, Dishwasher, Garbage Disposal, Washer, Oven, Refrigerator","Tile floors, Close to shopping, Built-in storage, Private backyard, Renovated kitchen",San Francisco Archdiocese,78,79,2020-10-10,3241050,8142
"1677, Sacramento Street, Pacific Heights, San Francisco, CA 94102",37.799216,-122.430179,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1924,4118,5,4,11125,3355767,41947,441,2,Radiant,Mini Split,"Dishwasher, Garbage Disposal, Microwave, Oven, Washer","Close to public transportation, Renovated kitchen, Private backyard",San Francisco Archdiocese,85,82,2020-12-20,2564579,6347
"8144, Washington Street, Pacific Heights, San Francisco, CA 94102",37.796157,-122.428592,Pacific Heights,2025-08-31,Single Family Home,Victorian/Classic,1887,3445,4,3,11832,3688494,46106,598,2,Central Heating,None,"Refrigerator, Dryer, Washer, Garbage Disposal","Hardwood floors, Landscaped backyard, Close to public transportation, Renovated kitchen, Fireplace",Private Schools,90,71,2021-09-25,2833708,6976
