Address,Latitude,Longitude,Neighborhood,Created_At,Property_Type,Style,Year_Built,Square_Footage,Bedrooms,Bathrooms,Lot_Size,Price,Property_Tax,HOA_Fees,Parking_Spaces,Heating,Cooling,Appliances,Features,School_District,Walk_Score,Transit_Score,Last_Sold_Date,Last_Sold_Price,Estimated_Monthly_Payment
5678 Washington St San Francisco CA 94111,37.8039,-122.4194,,,,,,,,,,,,,,,,,,,,,,
9012 Clay St San Francisco CA 94108,37.8089,-122.4294,,,,,,,,,,,,,,,,,,,,,,
3456 Stockton St San Francisco CA 94108,37.8139,-122.4394,,,,,,,,,,,,,,,,,,,,,,
7890 Grant Ave San Francisco CA 94108,37.8189,-122.4094,,,,,,,,,,,,,,,,,,,,,,
1234 Columbus Ave San Francisco CA 94133,37.8239,-122.4194,,,,,,,,,,,,,,,,,,,,,,
5678 Broadway San Francisco CA 94133,37.8289,-122.4294,,,,,,,,,,,,,,,,,,,,,,
9012 Kearny St San Francisco CA 94108,37.8339,-122.4394,,,,,,,,,,,,,,,,,,,,,,
3456 Montgomery St San Francisco CA 94104,37.8389,-122.4094,,,,,,,,,,,,,,,,,,,,,,
7890 Sansome St San Francisco CA 94111,37.8439,-122.4194,,,,,,,,,,,,,,,,,,,,,,
1234 Battery St San Francisco CA 94111,37.8489,-122.4294,,,,,,,,,,,,,,,,,,,,,,
5678 Davis St San Francisco CA 94111,37.8539,-122.4394,,,,,,,,,,,,,,,,,,,,,,
9012 Front St San Francisco CA 94111,37.8589,-122.4094,,,,,,,,,,,,,,,,,,,,,,
3456 Spear St San Francisco CA 94105,37.8639,-122.4194,,,,,,,,,,,,,,,,,,,,,,
7890 Folsom St San Francisco CA 94105,37.8689,-122.4294,,,,,,,,,,,,,,,,,,,,,,
1234 Harrison St San Francisco CA 94105,37.8739,-122.4394,,,,,,,,,,,,,,,,,,,,,,
5678 Bryant St San Francisco CA 94105,37.8789,-122.4094,,,,,,,,,,,,,,,,,,,,,,
9012 16th St San Francisco CA 94103,37.8839,-122.4194,,,,,,,,,,,,,,,,,,,,,,
3456 17th St San Francisco CA 94110,37.8889,-122.4294,,,,,,,,,,,,,,,,,,,,,,
7890 18th St San Francisco CA 94110,37.8939,-122.4394,,,,,,,,,,,,,,,,,,,,,,
1234 19th St San Francisco CA 94110,37.8989,-122.4094,,,,,,,,,,,,,,,,,,,,,,
5678 20th St San Francisco CA 94110,37.9039,-122.4194,,,,,,,,,,,,,,,,,,,,,,
9012 21st St San Francisco CA 94110,37.9089,-122.4294,,,,,,,,,,,,,,,,,,,,,,
3456 22nd St San Francisco CA 94110,37.9139,-122.4394,,,,,,,,,,,,,,,,,,,,,,
7890 23rd St San Francisco CA 94110,37.9189,-122.4094,,,,,,,,,,,,,,,,,,,,,,
1234 24th St San Francisco CA 94110,37.9239,-122.4194,,,,,,,,,,,,,,,,,,,,,,
5678 25th St San Francisco CA 94110,37.9289,-122.4294,,,,,,,,,,,,,,,,,,,,,,
9012 26th St San Francisco CA 94110,37.9339,-122.4394,,,,,,,,,,,,,,,,,,,,,,
3456 27th St San Francisco CA 94110,37.9389,-122.4094,,,,,,,,,,,,,,,,,,,,,,
7890 28th St San Francisco CA 94110,37.9439,-122.4194,,,,,,,,,,,,,,,,,,,,,,
1234 29th St San Francisco CA 94110,37.9489,-122.4294,,,,,,,,,,,,,,,,,,,,,,
5678 30th St San Francisco CA 94110,37.9539,-122.4394,,,,,,,,,,,,,,,,,,,,,,
9012 31st St San Francisco CA 94110,37.9589,-122.4094,,,,,,,,,,,,,,,,,,,,,,
3456 32nd St San Francisco CA 94110,37.9639,-122.4194,,,,,,,,,,,,,,,,,,,,,,
7890 33rd St San Francisco CA 94110,37.9689,-122.4294,,,,,,,,,,,,,,,,,,,,,,
1234 34th St San Francisco CA 94110,37.9739,-122.4394,,,,,,,,,,,,,,,,,,,,,,
5678 35th St San Francisco CA 94110,37.9789,-122.4094,,,,,,,,,,,,,,,,,,,,,,
9012 36th St San Francisco CA 94110,37.9839,-122.4194,,,,,,,,,,,,,,,,,,,,,,
3456 37th St San Francisco CA 94110,37.9889,-122.4294,,,,,,,,,,,,,,,,,,,,,,
7890 38th St San Francisco CA 94110,37.9939,-122.4394,,,,,,,,,,,,,,,,,,,,,,
1234 39th St San Francisco CA 94110,37.9989,-122.4094,,,,,,,,,,,,,,,,,,,,,,
5678 40th St San Francisco CA 94110,38.0039,-122.4194,,,,,,,,,,,,,,,,,,,,,,
9012 41st St San Francisco CA 94110,38.0089,-122.4294,,,,,,,,,,,,,,,,,,,,,,
3456 42nd St San Francisco CA 94110,38.0139,-122.4394,,,,,,,,,,,,,,,,,,,,,,
7890 43rd St San Francisco CA 94110,38.0189,-122.4094,,,,,,,,,,,,,,,,,,,,,,
1234 44th St San Francisco CA 94110,38.0239,-122.4194,,,,,,,,,,,,,,,,,,,,,,
5678 45th St San Francisco CA 94110,38.0289,-122.4294,,,,,,,,,,,,,,,,,,,,,,
9012 46th St San Francisco CA 94110,38.0339,-122.4394,,,,,,,,,,,,,,,,,,,,,,
3456 47th St San Francisco CA 94110,38.0389,-122.4094,,,,,,,,,,,,,,,,,,,,,,
7890 48th St San Francisco CA 94110,38.0439,-122.4194,,,,,,,,,,,,,,,,,,,,,,
1234 49th St San Francisco CA 94110,38.0489,-122.4294,,,,,,,,,,,,,,,,,,,,,,
5678 50th St San Francisco CA 94110,38.0539,-122.4394,,,,,,,,,,,,,,,,,,,,,,
