2025-08-22 22:12:02,771 - INFO - Coordinates cache database initialized
2025-08-22 22:12:10,193 - WARNING - Could not geocode Taku-Campbell, Anchorage Borough, AK
2025-08-22 22:18:31,864 - WARNING - Could not geocode Millers Creek, Mobile County, AL
2025-08-22 22:18:35,714 - WARNING - Could not geocode Belmeade, Mobile County, AL
2025-08-22 22:18:42,709 - WARNING - Could not geocode Greenmound, Mobile County, AL
2025-08-22 22:18:45,364 - WARNING - Could not geocode Central Business District, Mobile County, AL
2025-08-22 22:18:49,390 - WARNING - Could not geocode Mooncrest, Mobile County, AL
2025-08-22 22:18:53,320 - WARNING - Could not geocode Scenic Hill, Mobile County, AL
2025-08-22 22:18:54,708 - WARNING - Could not geocode Rochon, Mobile County, AL
2025-08-22 22:18:57,180 - WARNING - Could not geocode Fire Tower, Mobile County, AL
2025-08-22 22:18:57,685 - WARNING - Could not geocode Westavia, Mobile County, AL
2025-08-22 22:19:17,918 - WARNING - Could not geocode Bellfontaine, Mobile County, AL
2025-08-22 22:19:27,495 - WARNING - Could not geocode Branchville, Saint Clair County, AL
2025-08-22 22:19:28,516 - WARNING - Could not geocode Cropwell, Saint Clair County, AL
2025-08-22 22:19:36,812 - WARNING - Could not geocode Greater Alberta, Tuscaloosa County, AL
2025-08-22 22:19:51,756 - WARNING - Could not geocode West End, Craighead County, AR
2025-08-22 22:19:56,837 - WARNING - Could not geocode Scenic Hills, Craighead County, AR
2025-08-22 22:19:59,787 - WARNING - Could not geocode East End, Craighead County, AR
2025-08-22 22:20:02,760 - WARNING - Could not geocode Oak Forrest, Craighead County, AR
2025-08-22 22:20:03,504 - WARNING - Could not geocode Sagemeadows, Craighead County, AR
2025-08-22 22:20:07,828 - WARNING - Could not geocode McArthur Park, Craighead County, AR
2025-08-22 22:20:09,700 - WARNING - Could not geocode Frierson Area, Craighead County, AR
2025-08-22 22:20:12,688 - WARNING - Could not geocode Frogpond, Craighead County, AR
2025-08-22 22:20:27,762 - WARNING - Could not geocode Upper Baseline, Pulaski County, AR
2025-08-22 22:20:31,927 - WARNING - Could not geocode Chicot West I-30 So., Pulaski County, AR
2025-08-22 22:20:35,794 - WARNING - Could not geocode Otter Creek Crystal, Pulaski County, AR
2025-08-22 22:20:36,648 - WARNING - Could not geocode Cloverdale Watson, Pulaski County, AR
2025-08-22 22:20:40,957 - WARNING - Could not geocode Westwood-Pecan Lake, Pulaski County, AR
2025-08-22 22:20:43,878 - WARNING - Could not geocode Downtown Neighborhood, Pulaski County, AR
2025-08-22 22:20:44,690 - WARNING - Could not geocode Downtown CBD, Pulaski County, AR
2025-08-22 22:20:48,142 - WARNING - Could not geocode Capitol View-Stifft Station, Pulaski County, AR
2025-08-22 22:20:48,827 - WARNING - Could not geocode South End, Pulaski County, AR
2025-08-22 22:20:49,658 - WARNING - Could not geocode South Geyer Springs, Pulaski County, AR
2025-08-22 22:20:55,631 - WARNING - Could not geocode Sandpiper West, Pulaski County, AR
2025-08-22 22:20:55,920 - WARNING - Could not geocode East of I-30, Pulaski County, AR
2025-08-22 22:21:00,242 - WARNING - Could not geocode Jefferson/Walker, Washington County, AR
2025-08-22 22:21:01,864 - WARNING - Could not geocode University Heights, Washington County, AR
2025-08-22 22:21:04,235 - WARNING - Could not geocode South Rolling Hills, Washington County, AR
2025-08-22 22:21:06,024 - WARNING - Could not geocode Southwest Sequoyah, Washington County, AR
2025-08-22 22:21:07,288 - WARNING - Could not geocode Town Mountain South, Washington County, AR
2025-08-22 22:21:07,757 - WARNING - Could not geocode Wyman/Stonebridge, Washington County, AR
2025-08-22 22:21:09,245 - WARNING - Could not geocode Sang Valley, Washington County, AR
2025-08-22 22:21:15,215 - WARNING - Could not geocode Cherry Hiil, Coconino County, AZ
2025-08-22 22:21:25,467 - WARNING - Could not geocode La Plaza Veja, Coconino County, AZ
2025-08-22 22:21:34,181 - WARNING - Could not geocode Lockett Ranches, Coconino County, AZ
2025-08-22 22:21:39,203 - WARNING - Could not geocode Lower Greenlaw Esates, Coconino County, AZ
2025-08-22 22:21:42,227 - WARNING - Could not geocode Flagstaff Brannen Addtion, Coconino County, AZ
2025-08-22 22:22:14,797 - WARNING - Could not geocode O'Neil Ranch, Maricopa County, AZ
2025-08-22 22:22:28,417 - WARNING - Could not geocode Desert Uplands, Maricopa County, AZ
2025-08-22 22:22:43,471 - WARNING - Could not geocode United Amigos, Maricopa County, AZ
2025-08-22 22:22:55,585 - WARNING - Could not geocode Alegre Community, Maricopa County, AZ
2025-08-22 22:23:00,367 - WARNING - Could not geocode Cavalier Dale, Maricopa County, AZ
2025-08-22 22:23:10,265 - WARNING - Could not geocode Hilcrest Ranch, Maricopa County, AZ
2025-08-22 22:23:12,351 - WARNING - Could not geocode Community Fiesta, Maricopa County, AZ
2025-08-22 22:23:13,239 - WARNING - Could not geocode Florenza, Maricopa County, AZ
2025-08-22 22:23:19,408 - WARNING - Could not geocode Bordeaux, Maricopa County, AZ
2025-08-22 22:23:27,590 - WARNING - Could not geocode Fiesta Park Village, Maricopa County, AZ
2025-08-22 22:23:28,192 - WARNING - Could not geocode Northgrove, Maricopa County, AZ
2025-08-22 22:23:29,607 - WARNING - Could not geocode Springfield Lakes, Maricopa County, AZ
2025-08-22 22:23:31,966 - WARNING - Could not geocode Orchard Glen, Maricopa County, AZ
2025-08-22 22:23:38,688 - WARNING - Could not geocode Terra Vista Estates, Maricopa County, AZ
2025-08-22 22:23:42,502 - WARNING - Could not geocode Fonte Al Sole, Maricopa County, AZ
2025-08-22 22:23:42,877 - WARNING - Could not geocode Dobson Woods, Maricopa County, AZ
2025-08-22 22:23:47,599 - WARNING - Could not geocode Granite Run, Maricopa County, AZ
2025-08-22 22:23:52,619 - WARNING - Could not geocode Las Brisas Pointe, Maricopa County, AZ
2025-08-22 22:23:54,284 - WARNING - Could not geocode Ventana Lakes, Maricopa County, AZ
2025-08-22 22:24:13,477 - WARNING - Could not geocode Superstition Meadows, Maricopa County, AZ
2025-08-22 22:24:14,494 - WARNING - Could not geocode Hartford Village, Maricopa County, AZ
2025-08-22 22:24:20,592 - WARNING - Could not geocode Signal Butte Manor, Maricopa County, AZ
2025-08-22 22:24:26,330 - WARNING - Could not geocode Jen Tilly Terrace, Maricopa County, AZ
2025-08-22 22:24:28,345 - WARNING - Could not geocode Messina, Maricopa County, AZ
2025-08-22 22:24:32,361 - WARNING - Could not geocode Finisterre West, Maricopa County, AZ
2025-08-22 22:24:33,503 - WARNING - Could not geocode Saratoga Square, Maricopa County, AZ
2025-08-22 22:24:37,291 - WARNING - Could not geocode Morrision Ranch, Maricopa County, AZ
2025-08-22 22:24:38,959 - WARNING - Could not geocode Gateway Court, Maricopa County, AZ
2025-08-22 22:24:39,486 - WARNING - Could not geocode Hunter's Choice, Maricopa County, AZ
2025-08-22 22:24:45,381 - WARNING - Could not geocode Lindon Park, Maricopa County, AZ
2025-08-22 22:24:50,702 - WARNING - Could not geocode C.A.N.D.O., Maricopa County, AZ
2025-08-22 22:24:57,915 - WARNING - Could not geocode San Marcos Country Club, Maricopa County, AZ
2025-08-22 22:25:00,207 - WARNING - Could not geocode Gililland, Maricopa County, AZ
2025-08-22 22:25:04,614 - WARNING - Could not geocode Elliot Groves At Morrision Ranch, Maricopa County, AZ
2025-08-22 22:25:09,397 - WARNING - Could not geocode Papago Park View, Maricopa County, AZ
2025-08-22 22:25:19,445 - WARNING - Could not geocode Sands Oasis, Maricopa County, AZ
2025-08-22 22:25:20,518 - WARNING - Could not geocode Cox Heights, Maricopa County, AZ
2025-08-22 22:25:21,380 - WARNING - Could not geocode Pecos Vistas, Maricopa County, AZ
2025-08-22 22:25:23,537 - WARNING - Could not geocode Casa de Sol, Maricopa County, AZ
2025-08-22 22:25:28,226 - WARNING - Could not geocode Stratland Shadows, Maricopa County, AZ
2025-08-22 22:25:43,266 - WARNING - Could not geocode The Monterra, Maricopa County, AZ
2025-08-22 22:25:46,404 - WARNING - Could not geocode Dave Brown West, Maricopa County, AZ
2025-08-22 22:25:47,507 - WARNING - Could not geocode Optimist Park NE, Maricopa County, AZ
2025-08-22 22:25:50,490 - WARNING - Could not geocode Laurelwood Park, Maricopa County, AZ
2025-08-22 22:25:53,462 - WARNING - Could not geocode Carrington Place, Maricopa County, AZ
2025-08-22 22:26:01,799 - WARNING - Could not geocode Camelot Village, Maricopa County, AZ
2025-08-22 22:26:04,270 - WARNING - Could not geocode Alta Vista Estates, Maricopa County, AZ
2025-08-22 22:26:06,350 - WARNING - Could not geocode Dava-Lakeshore, Maricopa County, AZ
2025-08-22 22:26:10,488 - WARNING - Could not geocode Fraser Fields, Maricopa County, AZ
2025-08-22 22:26:13,380 - WARNING - Could not geocode Stonegate Estates, Maricopa County, AZ
2025-08-22 22:26:26,368 - WARNING - Could not geocode Lago Estancia, Maricopa County, AZ
2025-08-22 22:26:26,496 - WARNING - Could not geocode Hughes Acres, Maricopa County, AZ
2025-08-22 22:26:26,615 - INFO - Received an HTTP error (503): Query took too long to process.
2025-08-22 22:26:26,616 - WARNING - Attempt 1 failed for The Gardens: Non-successful status code 503
2025-08-22 22:26:29,599 - WARNING - Could not geocode Villa Monterey, Maricopa County, AZ
2025-08-22 22:26:34,500 - WARNING - Could not geocode Green Valley Estates, Maricopa County, AZ
2025-08-22 22:26:37,400 - WARNING - Could not geocode Brenna Park, Maricopa County, AZ
2025-08-22 22:26:37,547 - INFO - Received an HTTP error (503): Query took too long to process.
2025-08-22 22:26:37,547 - WARNING - Attempt 2 failed for The Gardens: Non-successful status code 503
2025-08-22 22:26:44,372 - WARNING - Could not geocode Redwood Estates-Markwood South, Maricopa County, AZ
2025-08-22 22:26:47,299 - WARNING - Could not geocode Windscape, Maricopa County, AZ
2025-08-22 22:26:48,576 - INFO - Received an HTTP error (503): Query took too long to process.
2025-08-22 22:26:48,577 - WARNING - Attempt 3 failed for The Gardens: Non-successful status code 503
2025-08-22 22:26:48,577 - ERROR - Failed to geocode The Gardens after 3 attempts
2025-08-22 22:26:51,202 - WARNING - Could not geocode Star Summit, Maricopa County, AZ
2025-08-22 22:26:54,347 - WARNING - Could not geocode Rancho del Lago, Maricopa County, AZ
2025-08-22 22:26:55,270 - WARNING - Could not geocode Neely Commons, Maricopa County, AZ
2025-08-22 22:26:59,340 - WARNING - Could not geocode Val Vista Place, Maricopa County, AZ
2025-08-22 22:27:01,267 - WARNING - Could not geocode Travata, Maricopa County, AZ
2025-08-22 22:27:07,423 - WARNING - Could not geocode Optimist Park SW, Maricopa County, AZ
2025-08-22 22:27:13,661 - WARNING - Could not geocode Optimist Park NW, Maricopa County, AZ
2025-08-22 22:27:14,622 - WARNING - Could not geocode Escobedo Historic District, Maricopa County, AZ
2025-08-22 22:27:23,446 - WARNING - Could not geocode Neely Farms, Maricopa County, AZ
2025-08-22 22:27:26,745 - INFO - Received an HTTP error (503): Query took too long to process.
2025-08-22 22:27:26,746 - WARNING - Attempt 1 failed for West Rio: Non-successful status code 503
2025-08-22 22:27:27,557 - WARNING - Could not geocode Golden Palms, Maricopa County, AZ
2025-08-22 22:27:28,522 - WARNING - Could not geocode Estate Groves and Valencia Estates, Maricopa County, AZ
2025-08-22 22:27:31,475 - WARNING - Could not geocode Springer Ranch, Maricopa County, AZ
2025-08-22 22:27:37,389 - WARNING - Could not geocode Cooley Station North, Maricopa County, AZ
2025-08-22 22:27:39,723 - WARNING - Could not geocode Tempe Gardens, Maricopa County, AZ
2025-08-22 22:27:41,348 - WARNING - Could not geocode The Heart of Glendale, Maricopa County, AZ
2025-08-22 22:27:43,020 - WARNING - Could not geocode El Dorado at the Highlands, Maricopa County, AZ
2025-08-22 22:27:50,359 - WARNING - Could not geocode Optimist Park SE, Maricopa County, AZ
2025-08-22 22:27:57,681 - WARNING - Could not geocode Southern Manor I and II, Maricopa County, AZ
2025-08-22 22:28:00,232 - WARNING - Could not geocode Countrybrook Meadows, Maricopa County, AZ
2025-08-22 22:28:01,327 - WARNING - Could not geocode Sundown Ranch, Maricopa County, AZ
2025-08-22 22:28:03,252 - WARNING - Could not geocode Southmoore, Maricopa County, AZ
2025-08-22 22:28:12,266 - WARNING - Could not geocode Colonia Coronita, Maricopa County, AZ
2025-08-22 22:28:12,525 - WARNING - Could not geocode Holiday Farms, Maricopa County, AZ
2025-08-22 22:28:13,441 - WARNING - Could not geocode Ranchos Del Sol, Maricopa County, AZ
2025-08-22 22:28:15,296 - WARNING - Could not geocode Marbrisa Ranch, Maricopa County, AZ
2025-08-22 22:28:24,647 - WARNING - Could not geocode Marlborough at Dana Ranch, Maricopa County, AZ
2025-08-22 22:28:28,603 - WARNING - Could not geocode Juniper Watson, Maricopa County, AZ
2025-08-22 22:28:29,966 - WARNING - Could not geocode Mitchell Park West, Maricopa County, AZ
2025-08-22 22:28:32,825 - WARNING - Could not geocode Southwest Shawnee Park, Maricopa County, AZ
2025-08-22 22:28:36,238 - WARNING - Could not geocode Sandahl, Maricopa County, AZ
2025-08-22 22:28:39,476 - WARNING - Could not geocode Circle G Riggs Ranch, Maricopa County, AZ
2025-08-22 22:28:47,272 - WARNING - Could not geocode Secluded Acres, Maricopa County, AZ
2025-08-22 22:28:49,344 - WARNING - Could not geocode Lamoreaux Farms, Maricopa County, AZ
2025-08-22 22:28:50,720 - WARNING - Could not geocode El Dorado Ranchos, Maricopa County, AZ
2025-08-22 22:28:52,195 - WARNING - Could not geocode Sun Air Estates, Maricopa County, AZ
2025-08-22 22:29:00,872 - WARNING - Could not geocode Sherwood Manor, Maricopa County, AZ
2025-08-22 22:29:03,444 - WARNING - Could not geocode Alameda-Campus, Maricopa County, AZ
2025-08-22 22:29:05,549 - WARNING - Could not geocode Rancho Cimarron, Maricopa County, AZ
2025-08-22 22:29:08,502 - WARNING - Could not geocode Brentwood-Cavalier, Maricopa County, AZ
2025-08-22 22:29:09,367 - WARNING - Could not geocode Kempton Crossing, Maricopa County, AZ
2025-08-22 22:29:12,566 - WARNING - Could not geocode Clearview Manor, Maricopa County, AZ
2025-08-22 22:29:14,477 - WARNING - Could not geocode Settler's Point South, Maricopa County, AZ
2025-08-22 22:29:16,544 - WARNING - Could not geocode CW Ranch, Maricopa County, AZ
2025-08-22 22:29:25,685 - WARNING - Could not geocode Greater Corona Village, Maricopa County, AZ
2025-08-22 22:29:30,305 - WARNING - Could not geocode Tempe South Mountain, Maricopa County, AZ
2025-08-22 22:29:31,392 - WARNING - Could not geocode Dobson Estates, Maricopa County, AZ
2025-08-22 22:29:32,494 - WARNING - Could not geocode Fairmont View, Maricopa County, AZ
2025-08-22 22:29:34,302 - WARNING - Could not geocode Copperfield, Maricopa County, AZ
2025-08-22 22:29:37,756 - WARNING - Could not geocode Paseo Trail North, Maricopa County, AZ
2025-08-22 22:29:38,484 - WARNING - Could not geocode Brandywine Estates, Maricopa County, AZ
2025-08-22 22:29:39,315 - WARNING - Could not geocode East Orangewood Estates, Maricopa County, AZ
2025-08-22 22:29:42,850 - WARNING - Could not geocode Skyline Village, Maricopa County, AZ
2025-08-22 22:29:43,247 - WARNING - Could not geocode Chandler Ginning, Maricopa County, AZ
2025-08-22 22:29:48,310 - WARNING - Could not geocode Candlelight Estates, Maricopa County, AZ
2025-08-22 22:29:50,517 - WARNING - Could not geocode Estates at Specturm, Maricopa County, AZ
2025-08-22 22:29:53,151 - WARNING - Could not geocode University Hills, Maricopa County, AZ
2025-08-22 22:29:55,245 - WARNING - Could not geocode Pueblo Viejo, Maricopa County, AZ
2025-08-22 22:29:56,376 - WARNING - Could not geocode Scudder Park West, Maricopa County, AZ
2025-08-22 22:29:58,319 - WARNING - Could not geocode West Enders, Maricopa County, AZ
2025-08-22 22:30:00,310 - WARNING - Could not geocode Stoneybrook, Maricopa County, AZ
2025-08-22 22:30:00,530 - WARNING - Could not geocode Fairview Meadows, Maricopa County, AZ
2025-08-22 22:30:03,303 - WARNING - Could not geocode Bristol Manor, Maricopa County, AZ
2025-08-22 22:30:03,862 - WARNING - Could not geocode Circle G Meadows, Maricopa County, AZ
2025-08-22 22:30:06,748 - WARNING - Could not geocode Canyon Oaks Estates, Maricopa County, AZ
2025-08-22 22:30:09,307 - WARNING - Could not geocode Claxton-Harvey, Maricopa County, AZ
2025-08-22 22:30:10,559 - WARNING - Could not geocode Sundance Homes, Maricopa County, AZ
2025-08-22 22:30:11,487 - WARNING - Could not geocode Spring Meadows, Maricopa County, AZ
2025-08-22 22:30:14,795 - WARNING - Could not geocode D'Arcy Ranch, Maricopa County, AZ
2025-08-22 22:30:17,421 - WARNING - Could not geocode Rialto Hills, Maricopa County, AZ
2025-08-22 22:30:20,567 - WARNING - Could not geocode Driftwood Ranch, Maricopa County, AZ
2025-08-22 22:30:20,589 - WARNING - Could not geocode Park Center Place, Maricopa County, AZ
2025-08-22 22:30:21,523 - WARNING - Could not geocode Camelot Estates, Maricopa County, AZ
2025-08-22 22:30:25,253 - WARNING - Could not geocode Hohokam Highlands, Maricopa County, AZ
2025-08-22 22:30:28,610 - WARNING - Could not geocode Eaton Club Estates, Maricopa County, AZ
2025-08-22 22:30:29,044 - INFO - Received an HTTP error (503): Query took too long to process.
