Address,Latitude,Longitude,Neighborhood,Created_At,Property_Type,Style,Year_Built,Square_Footage,Bedrooms,Bathrooms,Lot_Size,Price,Property_Tax,HOA_Fees,Parking_Spaces,Heating,Cooling,Appliances,Features,School_District,Walk_Score,Transit_Score,Last_Sold_Date,Last_Sold_Price,Estimated_Monthly_Payment
567 24th St San Francisco CA 94110,37.7529,-122.4094,Mission,2025-01-15,Single Family Home,Victorian,1915,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Period details,Fireplace,Updated kitchen,Garden",San Francisco Unified,91,87,2021-10-20,1400000,8500
890 Church St San Francisco CA 94114,37.7569,-122.4294,Noe Valley,2025-01-15,Single Family Home,Victorian,1895,2300,3,2.5,3100,2000000,25000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,89,83,2022-02-28,1750000,10500
2345 Irving St San Francisco CA 94122,37.7639,-122.4794,Sunset,2025-01-15,Single Family Home,Traditional,1950,2400,3,2,3500,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard,Garage",San Francisco Unified,75,70,2021-12-15,1600000,9500
678 9th Ave San Francisco CA 94118,37.7739,-122.4694,Inner Sunset,2025-01-15,Single Family Home,Traditional,1945,2200,3,2,3200,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard,Garage",San Francisco Unified,78,72,2022-01-10,1500000,9000
901 Geary Blvd San Francisco CA 94109,37.7839,-122.4194,Western Addition,2025-01-15,Single Family Home,Victorian,1905,2000,3,2,2800,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,85,80,2021-08-25,1700000,10000
3456 California St San Francisco CA 94118,37.7889,-122.4294,Laurel Heights,2025-01-15,Single Family Home,Traditional,1920,2500,3,2.5,3300,2200000,27500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard,Garage",San Francisco Unified,82,77,2022-03-20,1950000,11500
7890 Sacramento St San Francisco CA 94118,37.7939,-122.4394,Laurel Heights,2025-01-15,Single Family Home,Traditional,1915,2300,3,2,3000,2000000,25000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard,Garage",San Francisco Unified,80,75,2021-11-30,1800000,10500
1234 Jackson St San Francisco CA 94111,37.7989,-122.4094,North Beach,2025-01-15,Single Family Home,Italianate,1910,2400,3,2.5,3200,2100000,26250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Deck",San Francisco Unified,87,80,2022-04-15,1900000,11000
5678 Washington St San Francisco CA 94111,37.8039,-122.4194,North Beach,2025-01-15,Single Family Home,Italianate,1915,2200,3,2,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Backyard",San Francisco Unified,85,78,2021-09-20,1700000,10000
9012 Clay St San Francisco CA 94108,37.8089,-122.4294,Chinatown,2025-01-15,Single Family Home,Traditional,1920,2000,3,2,2800,1800000,22500,0,1,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard",San Francisco Unified,90,85,2022-01-25,1600000,9500
3456 Stockton St San Francisco CA 94108,37.8139,-122.4394,Chinatown,2025-01-15,Single Family Home,Traditional,1915,2100,3,2,2900,1700000,21250,0,1,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard",San Francisco Unified,88,83,2021-10-15,1500000,9000
7890 Grant Ave San Francisco CA 94108,37.8189,-122.4094,Chinatown,2025-01-15,Single Family Home,Traditional,1910,1900,3,2,2700,1600000,20000,0,1,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard",San Francisco Unified,86,81,2022-02-10,1450000,8500
1234 Columbus Ave San Francisco CA 94133,37.8239,-122.4194,North Beach,2025-01-15,Single Family Home,Italianate,1915,2300,3,2.5,3100,2000000,25000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Deck",San Francisco Unified,84,79,2021-12-05,1800000,10500
5678 Broadway San Francisco CA 94133,37.8289,-122.4294,North Beach,2025-01-15,Single Family Home,Italianate,1920,2200,3,2,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Backyard",San Francisco Unified,82,77,2022-03-15,1700000,10000
9012 Kearny St San Francisco CA 94108,37.8339,-122.4394,Chinatown,2025-01-15,Single Family Home,Traditional,1910,2000,3,2,2800,1800000,22500,0,1,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard",San Francisco Unified,85,80,2021-11-20,1600000,9500
3456 Montgomery St San Francisco CA 94104,37.8389,-122.4094,Financial District,2025-01-15,Single Family Home,Victorian,1890,2400,3,2.5,3200,2500000,31250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Backyard",San Francisco Unified,95,90,2022-05-30,2200000,12500
7890 Sansome St San Francisco CA 94111,37.8439,-122.4194,Financial District,2025-01-15,Single Family Home,Victorian,1895,2200,3,2,3000,2300000,28750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Backyard",San Francisco Unified,93,88,2021-08-15,2000000,11500
1234 Battery St San Francisco CA 94111,37.8489,-122.4294,Financial District,2025-01-15,Single Family Home,Victorian,1900,2000,3,2,2800,2100000,26250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Backyard",San Francisco Unified,91,86,2022-01-10,1850000,11000
5678 Davis St San Francisco CA 94111,37.8539,-122.4394,Financial District,2025-01-15,Single Family Home,Victorian,1905,2100,3,2,2900,2200000,27500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Backyard",San Francisco Unified,89,84,2021-09-25,1950000,11500
9012 Front St San Francisco CA 94111,37.8589,-122.4094,Financial District,2025-01-15,Single Family Home,Victorian,1910,2300,3,2.5,3100,2400000,30000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","City views,Fireplace,Updated kitchen,Backyard",San Francisco Unified,87,82,2022-04-20,2100000,12000
3456 Spear St San Francisco CA 94105,37.8639,-122.4194,South of Market,2025-01-15,Single Family Home,Modern,2010,1800,3,2,2500,2000000,25000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard,Garage",San Francisco Unified,90,85,2021-10-30,1800000,10500
7890 Folsom St San Francisco CA 94105,37.8689,-122.4294,South of Market,2025-01-15,Single Family Home,Modern,2012,1900,3,2,2600,2100000,26250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard,Garage",San Francisco Unified,88,83,2022-02-15,1900000,11000
1234 Harrison St San Francisco CA 94105,37.8739,-122.4394,South of Market,2025-01-15,Single Family Home,Modern,2008,1700,3,2,2400,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard,Garage",San Francisco Unified,86,81,2021-12-20,1700000,10000
5678 Bryant St San Francisco CA 94105,37.8789,-122.4094,South of Market,2025-01-15,Single Family Home,Modern,2015,2000,3,2.5,2700,2200000,27500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Updated kitchen,Fireplace,Backyard,Garage",San Francisco Unified,84,79,2022-05-25,2000000,11500
9012 16th St San Francisco CA 94103,37.8839,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,2900,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,92,87,2021-11-15,1600000,9500
3456 17th St San Francisco CA 94110,37.8889,-122.4294,Mission,2025-01-15,Single Family Home,Victorian,1915,2000,3,2,2800,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,90,85,2022-03-10,1500000,9000
7890 18th St San Francisco CA 94110,37.8939,-122.4394,Mission,2025-01-15,Single Family Home,Victorian,1920,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,88,83,2021-10-05,1450000,8500
1234 19th St San Francisco CA 94110,37.8989,-122.4094,Mission,2025-01-15,Single Family Home,Victorian,1905,2200,3,2.5,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,86,81,2022-01-20,1700000,10000
5678 20th St San Francisco CA 94110,37.9039,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,2900,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,84,79,2021-12-10,1600000,9500
9012 21st St San Francisco CA 94110,37.9089,-122.4294,Mission,2025-01-15,Single Family Home,Victorian,1915,2000,3,2,2800,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,82,77,2022-02-28,1500000,9000
3456 22nd St San Francisco CA 94110,37.9139,-122.4394,Mission,2025-01-15,Single Family Home,Victorian,1920,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,80,75,2021-09-15,1450000,8500
7890 23rd St San Francisco CA 94110,37.9189,-122.4094,Mission,2025-01-15,Single Family Home,Victorian,1905,2200,3,2.5,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,78,73,2022-04-05,1700000,10000
1234 24th St San Francisco CA 94110,37.9239,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,2900,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,76,71,2021-11-25,1600000,9500
5678 25th St San Francisco CA 94110,37.9289,-122.4294,Mission,2025-01-15,Single Family Home,Victorian,1915,2000,3,2,2800,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,74,69,2022-01-15,1500000,9000
9012 26th St San Francisco CA 94110,37.9339,-122.4394,Mission,2025-01-15,Single Family Home,Victorian,1920,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,72,67,2021-10-30,1450000,8500
3456 27th St San Francisco CA 94110,37.9389,-122.4094,Mission,2025-01-15,Single Family Home,Victorian,1905,2200,3,2.5,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,70,65,2022-03-20,1700000,10000
7890 28th St San Francisco CA 94110,37.9439,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,2900,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,68,63,2021-12-05,1600000,9500
1234 29th St San Francisco CA 94110,37.9489,-122.4294,Mission,2025-01-15,Single Family Home,Victorian,1915,2000,3,2,2800,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,66,61,2022-02-10,1500000,9000
5678 30th St San Francisco CA 94110,37.9539,-122.4394,Mission,2025-01-15,Single Family Home,Victorian,1920,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,64,59,2021-09-20,1450000,8500
9012 31st St San Francisco CA 94110,37.9589,-122.4094,Mission,2025-01-15,Single Family Home,Victorian,1905,2200,3,2.5,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,62,57,2022-04-25,1700000,10000
3456 32nd St San Francisco CA 94110,37.9639,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,2900,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,60,55,2021-11-10,1600000,9500
7890 33rd St San Francisco CA 94110,37.9689,-122.4294,Mission,2025-01-15,Single Family Home,Victorian,1915,2000,3,2,2800,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,58,53,2022-01-30,1500000,9000
1234 34th St San Francisco CA 94110,37.9739,-122.4394,Mission,2025-01-15,Single Family Home,Victorian,1920,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,56,51,2021-10-15,1450000,8500
5678 35th St San Francisco CA 94110,37.9789,-122.4094,Mission,2025-01-15,Single Family Home,Victorian,1905,2200,3,2.5,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,54,49,2022-03-05,1700000,10000
9012 36th St San Francisco CA 94110,37.9839,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,2900,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,52,47,2021-12-20,1600000,9500
3456 37th St San Francisco CA 94110,37.9889,-122.4294,Mission,2025-01-15,Single Family Home,Victorian,1915,2000,3,2,2800,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,50,45,2022-02-15,1500000,9000
7890 38th St San Francisco CA 94110,37.9939,-122.4394,Mission,2025-01-15,Single Family Home,Victorian,1920,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,48,43,2021-09-25,1450000,8500
1234 39th St San Francisco CA 94110,37.9989,-122.4094,Mission,2025-01-15,Single Family Home,Victorian,1905,2200,3,2.5,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,46,41,2022-04-10,1700000,10000
5678 40th St San Francisco CA 94110,38.0039,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,2900,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,44,39,2021-11-25,1600000,9500
9012 41st St San Francisco CA 94110,38.0089,-122.4294,Mission,2025-01-15,Single Family Home,Victorian,1915,2000,3,2,2800,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,42,37,2022-01-20,1500000,9000
3456 42nd St San Francisco CA 94110,38.0139,-122.4394,Mission,2025-01-15,Single Family Home,Victorian,1920,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,40,35,2021-10-30,1450000,8500
7890 43rd St San Francisco CA 94110,38.0189,-122.4094,Mission,2025-01-15,Single Family Home,Victorian,1905,2200,3,2.5,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,38,33,2022-03-15,1700000,10000
1234 44th St San Francisco CA 94110,38.0239,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,2900,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,36,31,2021-12-10,1600000,9500
5678 45th St San Francisco CA 94110,38.0289,-122.4294,Mission,2025-01-15,Single Family Home,Victorian,1915,2000,3,2,2800,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,34,29,2022-02-25,1500000,9000
9012 46th St San Francisco CA 94110,38.0339,-122.4394,Mission,2025-01-15,Single Family Home,Victorian,1920,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,32,27,2021-09-15,1450000,8500
3456 47th St San Francisco CA 94110,38.0389,-122.4094,Mission,2025-01-15,Single Family Home,Victorian,1905,2200,3,2.5,3000,1900000,23750,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,30,25,2022-04-20,1700000,10000
7890 48th St San Francisco CA 94110,38.0439,-122.4194,Mission,2025-01-15,Single Family Home,Victorian,1910,2100,3,2,2900,1800000,22500,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,28,23,2021-11-05,1600000,9500
1234 49th St San Francisco CA 94110,38.0489,-122.4294,Mission,2025-01-15,Single Family Home,Victorian,1915,2000,3,2,2800,1700000,21250,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,26,21,2022-01-25,1500000,9000
5678 50th St San Francisco CA 94110,38.0539,-122.4394,Mission,2025-01-15,Single Family Home,Victorian,1920,1900,3,2,2700,1600000,20000,0,2,Central Heating,Central Air,"Refrigerator,Dishwasher,Oven,Washer,Dryer","Original details,Fireplace,Updated kitchen,Backyard",San Francisco Unified,24,19,2021-10-20,1450000,8500
